batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
128,1,xz,0.0,0.0,0.0
128,2,xz,1.04,40.47,41.51
128,3,xz,4.09,0.0,4.09
128,4,xz,1.84,55.4,57.24
128,5,xz,1.32,0.04,1.36
128,6,xz,0.4,0.0,0.4
128,7,xz,0.7,21.72,22.42
128,8,xz,0.83,0.0,0.83
128,9,xz,0.94,45.04,45.98
128,10,xz,0.67,0.01,0.68
128,11,xz,0.2,0.0,0.2
128,12,xz,0.37,2.46,2.83
128,13,xz,0.57,0.0,0.57
128,14,xz,0.5,5.1,5.6
128,15,xz,0.35,0.01,0.36
128,16,xz,0.11,0.0,0.11
128,17,xz,0.0,0.0,0.0
128,18,xz,0.1,0.16,0.26
128,19,xz,0.01,0.0,0.01
128,20,xz,0.02,0.0,0.02
