batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
128,1,z,0.0,0.0,0.0
128,2,z,1.06,32.22,33.28
128,3,z,3.79,0.0,3.79
128,4,z,1.89,38.51,40.4
128,5,z,4.0,0.0,4.0
128,6,z,1.21,0.02,1.23
128,7,z,0.72,6.36,7.08
128,8,z,2.2,0.0,2.2
128,9,z,0.97,11.98,12.95
128,10,z,2.13,0.0,2.13
128,11,z,0.62,0.01,0.63
128,12,z,0.38,5.96,6.34
128,13,z,1.22,0.0,1.22
128,14,z,0.5,6.92,7.42
128,15,z,0.84,0.0,0.84
128,16,z,0.32,0.01,0.33
128,17,z,0.0,0.0,0.0
128,18,z,0.1,1.95,2.05
128,19,z,0.02,0.0,0.02
128,20,z,0.02,0.02,0.04
