batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,z,0.0,0.0,0.0
2,2,z,2.05,4.44,6.49
2,3,z,4.06,0.0,4.06
2,4,z,3.57,5.77,9.34
2,5,z,4.11,0.0,4.11
2,6,z,1.98,0.05,2.03
2,7,z,1.64,2.64,4.28
2,8,z,2.14,0.0,2.14
2,9,z,1.89,5.06,6.95
2,10,z,2.14,0.0,2.14
2,11,z,1.33,0.03,1.36
2,12,z,1.31,2.65,3.96
2,13,z,1.11,0.0,1.11
2,14,z,1.56,4.58,6.14
2,15,z,0.83,0.0,0.83
2,16,z,1.0,0.06,1.06
2,17,z,0.0,0.0,0.0
2,18,z,1.29,1.97,3.26
2,19,z,0.02,0.0,0.02
2,20,z,0.75,0.05,0.8
