batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
32,1,xz,0.0,0.0,0.0
32,2,xz,5.99,126.21,132.2
32,3,xz,5.58,0.0,5.58
32,4,xz,9.25,189.54,198.79
32,5,xz,5.46,0.0,5.46
32,6,xz,3.39,0.31,3.7
32,7,xz,4.82,49.42,54.24
32,8,xz,3.62,0.0,3.62
32,9,xz,5.07,157.4,162.47
32,10,xz,3.73,0.0,3.73
32,11,xz,1.9,0.12,2.02
32,12,xz,2.6,23.76,26.36
32,13,xz,2.85,0.0,2.85
32,14,xz,3.14,49.3,52.44
32,15,xz,2.94,0.0,2.94
32,16,xz,1.21,0.13,1.34
32,17,xz,0.0,0.0,0.0
32,18,xz,0.7,1.76,2.46
32,19,xz,0.03,0.0,0.03
32,20,xz,0.35,0.02,0.37
