batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
1,1,xz,0.0,0.0,0.0
1,2,xz,14.15,50.79,64.94
1,3,xz,9.78,0.0,9.78
1,4,xz,19.21,65.82,85.03
1,5,xz,12.33,0.0,12.33
1,6,xz,14.78,0.8,15.58
1,7,xz,14.47,30.93,45.4
1,8,xz,5.76,0.0,5.76
1,9,xz,16.65,60.54,77.19
1,10,xz,6.55,0.0,6.55
1,11,xz,13.14,0.8,13.94
1,12,xz,14.08,25.97,40.05
1,13,xz,3.09,0.0,3.09
1,14,xz,16.65,53.61,70.26
1,15,xz,3.3,0.0,3.3
1,16,xz,11.51,0.81,12.32
1,17,xz,0.0,0.0,0.0
1,18,xz,15.15,4.02,19.17
1,19,xz,0.05,0.0,0.05
1,20,xz,9.84,0.64,10.48
