batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
1,1,xz,0.0,0.0,0.0
1,2,xz,2.78,4.61,7.39
1,3,xz,3.42,0.0,3.42
1,4,xz,3.65,5.99,9.64
1,5,xz,3.74,0.0,3.74
1,6,xz,2.66,0.11,2.77
1,7,xz,2.43,3.12,5.55
1,8,xz,2.39,0.0,2.39
1,9,xz,2.73,5.38,8.11
1,10,xz,2.38,0.0,2.38
1,11,xz,2.01,0.06,2.07
1,12,xz,2.17,3.29,5.46
1,13,xz,1.12,0.0,1.12
1,14,xz,2.59,5.2,7.79
1,15,xz,0.91,0.0,0.91
1,16,xz,1.67,0.06,1.73
1,17,xz,0.0,0.0,0.0
1,18,xz,2.51,1.99,4.5
1,19,xz,0.02,0.0,0.02
1,20,xz,1.49,0.07,1.56
