batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
64,1,z,0.0,0.0,0.0
64,2,z,5.18,390.97,396.15
64,3,z,5.18,0.0,5.18
64,4,z,9.65,502.94,512.59
64,5,z,5.14,0.0,5.14
64,6,z,4.05,0.12,4.17
64,7,z,5.13,133.22,138.35
64,8,z,2.78,0.0,2.78
64,9,z,4.49,238.93,243.42
64,10,z,2.64,0.0,2.64
64,11,z,1.7,0.07,1.77
64,12,z,2.35,24.52,26.87
64,13,z,1.66,0.0,1.66
64,14,z,2.44,50.14,52.58
64,15,z,1.79,0.0,1.79
64,16,z,0.96,0.06,1.02
64,17,z,0.0,0.0,0.0
64,18,z,0.51,3.33,3.84
64,19,z,0.04,0.0,0.04
64,20,z,0.22,0.04,0.26
