            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   26-10-22_13-42-17        cpu       1     77.24           11.20         11.20        1.1200          0.00        0.0000  [[1, 1, cpu, 0.0, 0.0, 0.0], [1, 2, cpu, 2.48,...        914912
1   26-10-22_13-42-17        cpu       2     77.24           11.54         11.54        1.1537          0.00        0.0000  [[2, 1, cpu, 0.0, 0.0, 0.0], [2, 2, cpu, 2.5, ...        914912
2   26-10-22_13-42-17        cpu       4     77.24           11.51         11.51        1.1513          0.00        0.0000  [[4, 1, cpu, 0.0, 0.0, 0.0], [4, 2, cpu, 2.48,...        914912
3   26-10-22_13-42-17        cpu       8     77.24           11.70         11.70        1.1702          0.00        0.0000  [[8, 1, cpu, 0.0, 0.0, 0.0], [8, 2, cpu, 2.5, ...        914912
4   26-10-22_13-42-17        cpu      16     77.24           11.63         11.63        1.1631          0.00        0.0000  [[16, 1, cpu, 0.0, 0.0, 0.0], [16, 2, cpu, 2.4...        914912
5   26-10-22_13-42-17        cpu      32     77.24           11.54         11.54        1.1536          0.00        0.0000  [[32, 1, cpu, 0.0, 0.0, 0.0], [32, 2, cpu, 2.5...        914912
6   26-10-22_13-42-17        cpu      64     77.24           11.58         11.58        1.1575          0.00        0.0000  [[64, 1, cpu, 0.0, 0.0, 0.0], [64, 2, cpu, 2.5...        914912
7   26-10-22_13-42-17        cpu     128     77.24           11.87         11.87        1.1866          0.00        0.0000  [[128, 1, cpu, 0.0, 0.0, 0.0], [128, 2, cpu, 2...        914912
8   26-10-22_13-42-17        cpu     256     77.24           12.04         12.04        1.2044          0.00        0.0000  [[256, 1, cpu, 0.0, 0.0, 0.0], [256, 2, cpu, 2...        914912
9   26-10-22_13-42-17          x       1     77.24          136.25         53.66        5.3660         82.59        8.2587  [[1, 1, x, 0.0, 0.0, 0.0], [1, 2, x, 9.83, 53....        920920
10  26-10-22_13-42-17          x       2     77.24           75.30         32.26        3.2256         43.04        4.3036  [[2, 1, x, 0.0, 0.0, 0.0], [2, 2, x, 6.02, 27....        925040
11  26-10-22_13-42-17          x       4     77.24           54.00         22.65        2.2655         31.35        3.1349  [[4, 1, x, 0.0, 0.0, 0.0], [4, 2, x, 4.29, 21....        925040
12  26-10-22_13-42-17          x       8     77.24           31.88         14.21        1.4207         17.67        1.7670  [[8, 1, x, 0.0, 0.0, 0.0], [8, 2, x, 2.43, 12....        929240
13  26-10-22_13-42-17          x      16     77.24           26.95         11.49        1.1491         15.46        1.5464  [[16, 1, x, 0.0, 0.0, 0.0], [16, 2, x, 2.43, 1...        925040
14  26-10-22_13-42-17          x      32     77.24           26.92         10.22        1.0217         16.70        1.6701  [[32, 1, x, 0.0, 0.0, 0.0], [32, 2, x, 2.39, 1...        925040
15  26-10-22_13-42-17          x      64     77.24           26.52          8.91        0.8914         17.61        1.7610  [[64, 1, x, 0.0, 0.0, 0.0], [64, 2, x, 2.31, 1...        929232
16  26-10-22_13-42-17          x     128     77.24           25.47          7.68        0.7676         17.79        1.7789  [[128, 1, x, 0.0, 0.0, 0.0], [128, 2, x, 2.02,...        933432
17  26-10-22_13-42-17          x     256     77.24           24.64          7.42        0.7424         17.22        1.7217  [[256, 1, x, 0.0, 0.0, 0.0], [256, 2, x, 1.7, ...        929240
18  26-10-22_13-42-17          y       1     77.24          125.38         57.55        5.7548         67.83        6.7829  [[1, 1, y, 0.0, 0.0, 0.0], [1, 2, y, 10.47, 43...        920920
19  26-10-22_13-42-17          y       2     77.24           79.74         33.75        3.3748         45.99        4.5991  [[2, 1, y, 0.0, 0.0, 0.0], [2, 2, y, 6.47, 29....        929136
20  26-10-22_13-42-17          y       4     77.24           49.20         20.97        2.0974         28.23        2.8226  [[4, 1, y, 0.0, 0.0, 0.0], [4, 2, y, 3.74, 18....        929136
21  26-10-22_13-42-17          y       8     77.24           39.89         17.36        1.7362         22.53        2.2534  [[8, 1, y, 0.0, 0.0, 0.0], [8, 2, y, 3.13, 14....        937432
22  26-10-22_13-42-17          y      16     77.24           25.07         11.20        1.1201         13.87        1.3874  [[16, 1, y, 0.0, 0.0, 0.0], [16, 2, y, 2.37, 9...        933232
23  26-10-22_13-42-17          y      32     77.24           23.42          9.82        0.9824         13.60        1.3600  [[32, 1, y, 0.0, 0.0, 0.0], [32, 2, y, 2.32, 8...        933232
24  26-10-22_13-42-17          y      64     77.24           22.05          8.59        0.8591         13.46        1.3457  [[64, 1, y, 0.0, 0.0, 0.0], [64, 2, y, 2.23, 8...        937424
25  26-10-22_13-42-17          y     128     77.24           21.14          7.65        0.7648         13.49        1.3494  [[128, 1, y, 0.0, 0.0, 0.0], [128, 2, y, 2.1, ...        941624
26  26-10-22_13-42-17          y     256     77.24           21.86          7.51        0.7509         14.35        1.4350  [[256, 1, y, 0.0, 0.0, 0.0], [256, 2, y, 1.8, ...        937432
27  26-10-22_13-42-17          z       1     77.24          117.74         56.74        5.6740         61.00        6.0999  [[1, 1, z, 0.0, 0.0, 0.0], [1, 2, z, 10.11, 40...        916824
28  26-10-22_13-42-17          z       2     77.24           78.68         34.70        3.4700         43.98        4.3976  [[2, 1, z, 0.0, 0.0, 0.0], [2, 2, z, 6.5, 29.8...        920944
29  26-10-22_13-42-17          z       4     77.24           51.47         21.44        2.1438         30.03        3.0029  [[4, 1, z, 0.0, 0.0, 0.0], [4, 2, z, 3.86, 20....        920944
30  26-10-22_13-42-17          z       8     77.24           33.41         14.83        1.4829         18.58        1.8576  [[8, 1, z, 0.0, 0.0, 0.0], [8, 2, z, 2.59, 14....        929240
31  26-10-22_13-42-17          z      16     77.24           46.90         15.08        1.5080         31.82        3.1822  [[16, 1, z, 0.0, 0.0, 0.0], [16, 2, z, 3.35, 2...        925040
32  26-10-22_13-42-17          z      32     77.24           56.53         12.05        1.2053         44.48        4.4477  [[32, 1, z, 0.0, 0.0, 0.0], [32, 2, z, 3.36, 3...        929136
33  26-10-22_13-42-17          z      64     77.24           65.55          9.55        0.9550         56.00        5.6000  [[64, 1, z, 0.0, 0.0, 0.0], [64, 2, z, 2.59, 4...        933328
34  26-10-22_13-42-17          z     128     77.24           74.39          8.20        0.8201         66.19        6.6185  [[128, 1, z, 0.0, 0.0, 0.0], [128, 2, z, 2.14,...        937528
35  26-10-22_13-42-17          z     256     77.24           82.78          7.64        0.7635         75.14        7.5143  [[256, 1, z, 0.0, 0.0, 0.0], [256, 2, z, 1.84,...        937432
36  26-10-22_13-42-17         xy       1     77.24          125.57         58.20        5.8201         67.37        6.7375  [[1, 1, xy, 0.0, 0.0, 0.0], [1, 2, xy, 10.61, ...        920920
37  26-10-22_13-42-17         xy       2     77.24           76.10         33.41        3.3410         42.69        4.2695  [[2, 1, xy, 0.0, 0.0, 0.0], [2, 2, xy, 6.25, 2...        925040
38  26-10-22_13-42-17         xy       4     77.24           51.00         21.97        2.1970         29.03        2.9031  [[4, 1, xy, 0.0, 0.0, 0.0], [4, 2, xy, 4.19, 2...        925040
39  26-10-22_13-42-17         xy       8     77.24           33.86         15.36        1.5365         18.50        1.8503  [[8, 1, xy, 0.0, 0.0, 0.0], [8, 2, xy, 2.84, 1...        929240
40  26-10-22_13-42-17         xy      16     77.24           24.48         10.66        1.0661         13.82        1.3817  [[16, 1, xy, 0.0, 0.0, 0.0], [16, 2, xy, 2.13,...        925040
41  26-10-22_13-42-17         xy      32     77.24           22.31          9.49        0.9493         12.82        1.2821  [[32, 1, xy, 0.0, 0.0, 0.0], [32, 2, xy, 2.17,...        925040
42  26-10-22_13-42-17         xy      64     77.24           21.79          8.13        0.8132         13.66        1.3665  [[64, 1, xy, 0.0, 0.0, 0.0], [64, 2, xy, 1.96,...        929232
43  26-10-22_13-42-17         xy     128     77.24           21.68          7.19        0.7192         14.49        1.4492  [[128, 1, xy, 0.0, 0.0, 0.0], [128, 2, xy, 1.8...        933432
44  26-10-22_13-42-17         xy     256     77.24           22.58          7.63        0.7625         14.95        1.4947  [[256, 1, xy, 0.0, 0.0, 0.0], [256, 2, xy, 1.8...        929240
45  26-10-22_13-42-17         xz       1     77.24          120.70         57.97        5.7973         62.73        6.2727  [[1, 1, xz, 0.0, 0.0, 0.0], [1, 2, xz, 10.39, ...        916824
46  26-10-22_13-42-17         xz       2     77.24           78.48         34.41        3.4407         44.07        4.4071  [[2, 1, xz, 0.0, 0.0, 0.0], [2, 2, xz, 6.57, 3...        916848
47  26-10-22_13-42-17         xz       4     77.24           50.17         21.42        2.1420         28.75        2.8749  [[4, 1, xz, 0.0, 0.0, 0.0], [4, 2, xz, 3.82, 2...        916848
48  26-10-22_13-42-17         xz       8     77.24           38.58         17.04        1.7037         21.54        2.1536  [[8, 1, xz, 0.0, 0.0, 0.0], [8, 2, xz, 3.1, 15...        921048
49  26-10-22_13-42-17         xz      16     77.24           25.50         11.52        1.1525         13.98        1.3977  [[16, 1, xz, 0.0, 0.0, 0.0], [16, 2, xz, 2.46,...        916848
50  26-10-22_13-42-17         xz      32     77.24           23.05          9.77        0.9772         13.28        1.3278  [[32, 1, xz, 0.0, 0.0, 0.0], [32, 2, xz, 2.22,...        916848
51  26-10-22_13-42-17         xz      64     77.24           21.51          8.33        0.8328         13.18        1.3178  [[64, 1, xz, 0.0, 0.0, 0.0], [64, 2, xz, 2.04,...        921040
52  26-10-22_13-42-17         xz     128     77.24           20.57          7.40        0.7401         13.17        1.3166  [[128, 1, xz, 0.0, 0.0, 0.0], [128, 2, xz, 1.9...        925240
53  26-10-22_13-42-17         xz     256     77.24           21.20          7.82        0.7816         13.38        1.3377  [[256, 1, xz, 0.0, 0.0, 0.0], [256, 2, xz, 1.9...        921048
54  26-10-22_13-42-17         yz       1     77.24          124.74         58.65        5.8646         66.09        6.6095  [[1, 1, yz, 0.0, 0.0, 0.0], [1, 2, yz, 10.54, ...        916824
55  26-10-22_13-42-17         yz       2     77.24           78.14         33.90        3.3896         44.24        4.4240  [[2, 1, yz, 0.0, 0.0, 0.0], [2, 2, yz, 6.22, 2...        920944
56  26-10-22_13-42-17         yz       4     77.24           52.34         21.85        2.1847         30.49        3.0494  [[4, 1, yz, 0.0, 0.0, 0.0], [4, 2, yz, 3.82, 2...        920944
57  26-10-22_13-42-17         yz       8     77.24           43.06         17.49        1.7494         25.57        2.5572  [[8, 1, yz, 0.0, 0.0, 0.0], [8, 2, yz, 3.11, 2...        929240
58  26-10-22_13-42-17         yz      16     77.24           57.76         16.27        1.6268         41.49        4.1495  [[16, 1, yz, 0.0, 0.0, 0.0], [16, 2, yz, 3.93,...        925040
59  26-10-22_13-42-17         yz      32     77.24           66.84         12.26        1.2262         54.58        5.4579  [[32, 1, yz, 0.0, 0.0, 0.0], [32, 2, yz, 3.36,...        929136
60  26-10-22_13-42-17         yz      64     77.24           73.28          9.53        0.9529         63.75        6.3750  [[64, 1, yz, 0.0, 0.0, 0.0], [64, 2, yz, 2.62,...        933328
61  26-10-22_13-42-17         yz     128     77.24           83.93          8.11        0.8106         75.82        7.5824  [[128, 1, yz, 0.0, 0.0, 0.0], [128, 2, yz, 2.1...        937528
62  26-10-22_13-42-17         yz     256     77.24          100.57          8.19        0.8185         92.38        9.2382  [[256, 1, yz, 0.0, 0.0, 0.0], [256, 2, yz, 2.0...        937432
63  26-10-22_13-42-17        xyz       1     77.24          121.45         56.82        5.6825         64.63        6.4628  [[1, 1, xyz, 0.0, 0.0, 0.0], [1, 2, xyz, 10.2,...        916824
64  26-10-22_13-42-17        xyz       2     77.24           74.17         31.84        3.1838         42.33        4.2333  [[2, 1, xyz, 0.0, 0.0, 0.0], [2, 2, xyz, 6.07,...        916848
65  26-10-22_13-42-17        xyz       4     77.24           53.51         22.46        2.2462         31.05        3.1049  [[4, 1, xyz, 0.0, 0.0, 0.0], [4, 2, xyz, 3.99,...        916848
66  26-10-22_13-42-17        xyz       8     77.24           36.08         15.98        1.5982         20.10        2.0095  [[8, 1, xyz, 0.0, 0.0, 0.0], [8, 2, xyz, 2.84,...        921048
67  26-10-22_13-42-17        xyz      16     77.24           25.27         11.44        1.1435         13.83        1.3827  [[16, 1, xyz, 0.0, 0.0, 0.0], [16, 2, xyz, 2.4...        916848
68  26-10-22_13-42-17        xyz      32     77.24           23.79          9.92        0.9917         13.87        1.3869  [[32, 1, xyz, 0.0, 0.0, 0.0], [32, 2, xyz, 2.3...        916848
69  26-10-22_13-42-17        xyz      64     77.24           23.90          8.48        0.8476         15.42        1.5420  [[64, 1, xyz, 0.0, 0.0, 0.0], [64, 2, xyz, 2.1...        921040
70  26-10-22_13-42-17        xyz     128     77.24           24.34          7.51        0.7507         16.83        1.6828  [[128, 1, xyz, 0.0, 0.0, 0.0], [128, 2, xyz, 1...        925240
71  26-10-22_13-42-17        xyz     256     77.24           26.61          8.25        0.8246         18.36        1.8365  [[256, 1, xyz, 0.0, 0.0, 0.0], [256, 2, xyz, 2...        921048
72  26-10-22_13-42-17  automatic      64     77.24           10.37          6.28        0.6279          4.09        0.4086  [[64, 1, automatic, 0.0, 0.0, 0.0], [64, 2, au...        919448


Total runtime of every implementation (excl. auto): 3436.650s

Total runtime of every implementation (incl. auto): 3447.020s



Total runtime including script: 4815.565s
