            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   23-11-22_10-18-30        cpu       1     67.08           95.60         95.60        9.5604          0.00        0.0000  [[1, 1, cpu, 0.0, 0.0, 0.0], [1, 2, cpu, 2.45,...       3103728
1   23-11-22_10-18-30        cpu       2     67.08           91.86         91.86        9.1856          0.00        0.0000  [[2, 1, cpu, 0.0, 0.0, 0.0], [2, 2, cpu, 2.43,...       3107824
2   23-11-22_10-18-30        cpu       4     67.08           92.53         92.53        9.2529          0.00        0.0000  [[4, 1, cpu, 0.0, 0.0, 0.0], [4, 2, cpu, 2.45,...       3107824
3   23-11-22_10-18-30        cpu       8     67.08           93.16         93.16        9.3161          0.00        0.0000  [[8, 1, cpu, 0.0, 0.0, 0.0], [8, 2, cpu, 2.54,...       3103728
4   23-11-22_10-18-30        cpu      16     67.08           93.38         93.38        9.3383          0.00        0.0000  [[16, 1, cpu, 0.0, 0.0, 0.0], [16, 2, cpu, 2.5...       3107824
5   23-11-22_10-18-30        cpu      32     67.08           92.71         92.71        9.2711          0.00        0.0000  [[32, 1, cpu, 0.0, 0.0, 0.0], [32, 2, cpu, 2.5...       3107824
6   23-11-22_10-18-30        cpu      64     67.08           93.34         93.34        9.3339          0.00        0.0000  [[64, 1, cpu, 0.0, 0.0, 0.0], [64, 2, cpu, 2.5...       3103728
7   23-11-22_10-18-30        cpu     128     67.08           93.09         93.09        9.3085          0.00        0.0000  [[128, 1, cpu, 0.0, 0.0, 0.0], [128, 2, cpu, 2...       3103728
8   23-11-22_10-18-30          x       1     67.08          534.95         40.68        4.0680        494.27       49.4270  [[1, 1, x, 0.0, 0.0, 0.0], [1, 2, x, 2.75, 65....       2054408
9   23-11-22_10-18-30          x       2     67.08          282.62         32.78        3.2783        249.84       24.9840  [[2, 1, x, 0.0, 0.0, 0.0], [2, 2, x, 1.98, 33....       2058504
10  23-11-22_10-18-30          x       4     67.08          154.87         28.93        2.8935        125.94       12.5944  [[4, 1, x, 0.0, 0.0, 0.0], [4, 2, x, 1.79, 16....       2058504
11  23-11-22_10-18-30          x       8     67.08           89.32         25.27        2.5273         64.05        6.4053  [[8, 1, x, 0.0, 0.0, 0.0], [8, 2, x, 1.35, 8.7...       2058504
12  23-11-22_10-18-30          x      16     67.08          128.34         23.77        2.3773        104.57       10.4571  [[16, 1, x, 0.0, 0.0, 0.0], [16, 2, x, 1.13, 3...       2058504
13  23-11-22_10-18-30          x      32     67.08          149.82         22.54        2.2538        127.28       12.7283  [[32, 1, x, 0.0, 0.0, 0.0], [32, 2, x, 1.04, 3...       2058504
14  23-11-22_10-18-30          x      64     67.08          226.08         22.26        2.2262        203.82       20.3816  [[64, 1, x, 0.0, 0.0, 0.0], [64, 2, x, 0.99, 4...       2058504
15  23-11-22_10-18-30          x     128     67.08          269.03         21.93        2.1934        247.10       24.7096  [[128, 1, x, 0.0, 0.0, 0.0], [128, 2, x, 0.96,...       2058504
16  23-11-22_10-18-30          y       1     67.08          276.40         40.51        4.0512        235.89       23.5894  [[1, 1, y, 0.0, 0.0, 0.0], [1, 2, y, 2.72, 7.0...       2054408
17  23-11-22_10-18-30          y       2     67.08          268.26         32.79        3.2787        235.47       23.5473  [[2, 1, y, 0.0, 0.0, 0.0], [2, 2, y, 1.99, 7.0...       2070792
18  23-11-22_10-18-30          y       4     67.08          263.93         28.95        2.8951        234.98       23.4983  [[4, 1, y, 0.0, 0.0, 0.0], [4, 2, y, 1.78, 7.2...       2062600
19  23-11-22_10-18-30          y       8     67.08          260.61         25.36        2.5361        235.25       23.5252  [[8, 1, y, 0.0, 0.0, 0.0], [8, 2, y, 1.36, 7.3...       2062600
20  23-11-22_10-18-30          y      16     67.08          259.52         23.67        2.3672        235.85       23.5853  [[16, 1, y, 0.0, 0.0, 0.0], [16, 2, y, 1.13, 7...       2066696
21  23-11-22_10-18-30          y      32     67.08          259.27         22.55        2.2554        236.72       23.6723  [[32, 1, y, 0.0, 0.0, 0.0], [32, 2, y, 1.03, 7...       2066696
22  23-11-22_10-18-30          y      64     67.08          259.52         22.22        2.2216        237.30       23.7298  [[64, 1, y, 0.0, 0.0, 0.0], [64, 2, y, 0.98, 7...       2066696
23  23-11-22_10-18-30          y     128     67.08          260.78         22.04        2.2043        238.74       23.8743  [[128, 1, y, 0.0, 0.0, 0.0], [128, 2, y, 0.98,...       2066696
24  23-11-22_10-18-30          z       1     67.08           70.27         40.54        4.0540         29.73        2.9727  [[1, 1, z, 0.0, 0.0, 0.0], [1, 2, z, 2.71, 4.5...       2050312
25  23-11-22_10-18-30          z       2     67.08           59.99         32.73        3.2733         27.26        2.7264  [[2, 1, z, 0.0, 0.0, 0.0], [2, 2, z, 1.97, 4.4...       2058504
26  23-11-22_10-18-30          z       4     67.08           55.67         28.96        2.8955         26.71        2.6707  [[4, 1, z, 0.0, 0.0, 0.0], [4, 2, z, 1.79, 4.4...       2054408
27  23-11-22_10-18-30          z       8     67.08           51.85         25.37        2.5367         26.48        2.6481  [[8, 1, z, 0.0, 0.0, 0.0], [8, 2, z, 1.36, 4.5...       2054408
28  23-11-22_10-18-30          z      16     67.08           53.22         23.77        2.3767         29.45        2.9451  [[16, 1, z, 0.0, 0.0, 0.0], [16, 2, z, 1.14, 6...       2062600
29  23-11-22_10-18-30          z      32     67.08           70.44         22.56        2.2562         47.88        4.7883  [[32, 1, z, 0.0, 0.0, 0.0], [32, 2, z, 1.03, 1...       2070792
