batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,y,0.0,0.0,0.0
4,2,y,10.63,62.51,73.14
4,3,y,14.36,0.0,14.36
4,4,y,14.38,83.19,97.57
4,5,y,11.45,0.31,11.76
4,6,y,3.23,0.0,3.23
4,7,y,7.17,38.0,45.17
4,8,y,7.96,0.0,7.96
4,9,y,10.22,75.32,85.54
4,10,y,7.5,0.29,7.79
4,11,y,2.48,0.0,2.48
4,12,y,6.97,75.51,82.48
4,13,y,4.72,0.0,4.72
4,14,y,8.23,150.71,158.94
4,15,y,6.44,0.36,6.8
4,16,y,1.86,0.0,1.86
4,17,y,0.0,0.0,0.0
4,18,y,6.52,3.49,10.01
4,19,y,0.06,0.0,0.06
4,20,y,2.92,0.21,3.13
