            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   23-11-22_10-17-28        cpu       1     67.08          469.58        469.58       46.9575          0.00        0.0000  [[1, 1, cpu, 0.0, 0.0, 0.0], [1, 2, cpu, 20.86...       3075448
1   23-11-22_10-17-28        cpu       2     67.08          482.06        482.06       48.2058          0.00        0.0000  [[2, 1, cpu, 0.0, 0.0, 0.0], [2, 2, cpu, 20.78...       3075448
2   23-11-22_10-17-28        cpu       4     67.08          481.02        481.02       48.1019          0.00        0.0000  [[4, 1, cpu, 0.0, 0.0, 0.0], [4, 2, cpu, 20.52...       3079640
3   23-11-22_10-17-28        cpu       8     67.08          474.47        474.47       47.4466          0.00        0.0000  [[8, 1, cpu, 0.0, 0.0, 0.0], [8, 2, cpu, 20.63...       3079648
4   23-11-22_10-17-28        cpu      16     67.08          475.30        475.30       47.5297          0.00        0.0000  [[16, 1, cpu, 0.0, 0.0, 0.0], [16, 2, cpu, 20....       3075448
5   23-11-22_10-17-28        cpu      32     67.08          475.48        475.48       47.5476          0.00        0.0000  [[32, 1, cpu, 0.0, 0.0, 0.0], [32, 2, cpu, 21....       3075448
6   23-11-22_10-17-28        cpu      64     67.08          475.61        475.61       47.5608          0.00        0.0000  [[64, 1, cpu, 0.0, 0.0, 0.0], [64, 2, cpu, 20....       3075448
7   23-11-22_10-17-28        cpu     128     67.08          481.04        481.04       48.1037          0.00        0.0000  [[128, 1, cpu, 0.0, 0.0, 0.0], [128, 2, cpu, 2...       3075448
8   23-11-22_10-17-28          y       1     67.08          757.29        269.15       26.9146        488.14       48.8135  [[1, 1, y, 0.0, 0.0, 0.0], [1, 2, y, 16.58, 62...       2038520
9   23-11-22_10-17-28          y       2     67.08          708.16        219.74       21.9741        488.42       48.8424  [[2, 1, y, 0.0, 0.0, 0.0], [2, 2, y, 12.58, 62...       2050712
10  23-11-22_10-17-28          y       4     67.08          647.98        157.65       15.7649        490.33       49.0331  [[4, 1, y, 0.0, 0.0, 0.0], [4, 2, y, 11.41, 62...       2042520
11  23-11-22_10-17-28          y       8     67.08          604.24        114.33       11.4326        489.91       48.9908  [[8, 1, y, 0.0, 0.0, 0.0], [8, 2, y, 9.19, 62....       2050880
12  23-11-22_10-17-28          y      16     67.08          572.87         83.12        8.3124        489.75       48.9752  [[16, 1, y, 0.0, 0.0, 0.0], [16, 2, y, 7.57, 6...       2046616
13  23-11-22_10-17-28          y      32     67.08          555.31         64.27        6.4273        491.04       49.1041  [[32, 1, y, 0.0, 0.0, 0.0], [32, 2, y, 6.18, 6...       2046616
14  23-11-22_10-17-28          y      64     67.08          550.97         56.93        5.6932        494.04       49.4035  [[64, 1, y, 0.0, 0.0, 0.0], [64, 2, y, 4.96, 6...       2046616
15  23-11-22_10-17-28          y     128     67.08          552.86         55.96        5.5957        496.90       49.6900  [[128, 1, y, 0.0, 0.0, 0.0], [128, 2, y, 5.08,...       2046616
