batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
32,1,xy,0.0,0.0,0.0
32,2,xy,1.09,34.33,35.42
32,3,xy,3.42,0.0,3.42
32,4,xy,1.97,50.12,52.09
32,5,xy,3.93,0.0,3.93
32,6,xy,1.28,0.01,1.29
32,7,xy,0.81,4.29,5.1
32,8,xy,2.5,0.0,2.5
32,9,xy,1.06,8.24,9.3
32,10,xy,2.09,0.0,2.09
32,11,xy,0.69,0.01,0.7
32,12,xy,0.49,6.69,7.18
32,13,xy,1.11,0.0,1.11
32,14,xy,0.62,13.78,14.4
32,15,xy,0.84,0.0,0.84
32,16,xy,0.4,0.01,0.41
32,17,xy,0.0,0.0,0.0
32,18,xy,0.16,0.16,0.32
32,19,xy,0.02,0.0,0.02
32,20,xy,0.05,0.0,0.05
