batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
128,1,xyz,0.0,0.0,0.0
128,2,xyz,5.28,106.87,112.15
128,3,xyz,5.19,0.0,5.19
128,4,xyz,10.02,129.52,139.54
128,5,xyz,5.14,0.0,5.14
128,6,xyz,5.04,0.33,5.37
128,7,xyz,4.13,34.37,38.5
128,8,xyz,2.72,0.0,2.72
128,9,xyz,4.97,61.56,66.53
128,10,xyz,2.51,0.0,2.51
128,11,xyz,2.03,0.15,2.18
128,12,xyz,2.67,28.03,30.7
128,13,xyz,1.29,0.0,1.29
128,14,xyz,2.38,53.99,56.37
128,15,xyz,1.33,0.0,1.33
128,16,xyz,0.85,0.06,0.91
128,17,xyz,0.0,0.0,0.0
128,18,xyz,0.36,1.69,2.05
128,19,xyz,0.03,0.0,0.03
128,20,xyz,0.1,0.01,0.11
