batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
16,1,xyz,0.0,0.0,0.0
16,2,xyz,7.68,53.99,61.67
16,3,xyz,7.56,0.0,7.56
16,4,xyz,10.09,66.4,76.49
16,5,xyz,7.52,0.0,7.52
16,6,xyz,3.87,0.27,4.14
16,7,xyz,4.82,31.94,36.76
16,8,xyz,5.44,0.0,5.44
16,9,xyz,6.16,59.17,65.33
16,10,xyz,6.19,0.0,6.19
16,11,xyz,2.35,0.12,2.47
16,12,xyz,3.05,26.78,29.83
16,13,xyz,3.89,0.0,3.89
16,14,xyz,4.23,52.92,57.15
16,15,xyz,4.5,0.0,4.5
16,16,xyz,1.91,0.09,2.0
16,17,xyz,0.0,0.0,0.0
16,18,xyz,1.17,1.86,3.03
16,19,xyz,0.04,0.0,0.04
16,20,xyz,0.64,0.04,0.68
