batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
16,1,cpu,0.0,0.0,0.0
16,2,cpu,20.71,0.0,20.71
16,3,cpu,5.48,0.0,5.48
16,4,cpu,116.59,0.0,116.59
16,5,cpu,5.47,0.0,5.47
16,6,cpu,0.06,0.0,0.06
16,7,cpu,61.56,0.0,61.56
16,8,cpu,2.41,0.0,2.41
16,9,cpu,118.31,0.0,118.31
16,10,cpu,2.74,0.0,2.74
16,11,cpu,0.04,0.0,0.04
16,12,cpu,48.3,0.0,48.3
16,13,cpu,1.38,0.0,1.38
16,14,cpu,85.98,0.0,85.98
16,15,cpu,1.41,0.0,1.41
16,16,cpu,0.02,0.0,0.02
16,17,cpu,0.0,0.0,0.0
16,18,cpu,4.71,0.0,4.71
16,19,cpu,0.02,0.0,0.02
16,20,cpu,0.0,0.0,0.0
