batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,xyz,0.0,0.0,0.0
2,2,xyz,2.04,3.96,6.0
2,3,xyz,4.06,0.0,4.06
2,4,xyz,3.56,5.06,8.62
2,5,xyz,4.12,0.0,4.12
2,6,xyz,1.99,0.04,2.03
2,7,xyz,1.64,2.92,4.56
2,8,xyz,2.14,0.0,2.14
2,9,xyz,1.89,5.02,6.91
2,10,xyz,2.14,0.0,2.14
2,11,xyz,1.34,0.05,1.39
2,12,xyz,1.31,3.59,4.9
2,13,xyz,1.11,0.0,1.11
2,14,xyz,1.55,4.91,6.46
2,15,xyz,0.83,0.0,0.83
2,16,xyz,1.0,0.03,1.03
2,17,xyz,0.0,0.0,0.0
2,18,xyz,1.29,1.01,2.3
2,19,xyz,0.02,0.0,0.02
2,20,xyz,0.74,0.03,0.77
