batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
16,1,xyz,0.0,0.0,0.0
16,2,xyz,1.2,13.57,14.77
16,3,xyz,3.42,0.0,3.42
16,4,xyz,2.11,17.58,19.69
16,5,xyz,3.91,0.0,3.91
16,6,xyz,1.38,0.02,1.4
16,7,xyz,0.96,2.37,3.33
16,8,xyz,2.5,0.0,2.5
16,9,xyz,1.2,4.61,5.81
16,10,xyz,2.08,0.0,2.08
16,11,xyz,0.8,0.01,0.81
16,12,xyz,0.58,2.23,2.81
16,13,xyz,1.11,0.0,1.11
16,14,xyz,0.78,4.33,5.11
16,15,xyz,0.84,0.0,0.84
16,16,xyz,0.49,0.01,0.5
16,17,xyz,0.0,0.0,0.0
16,18,xyz,0.24,0.15,0.39
16,19,xyz,0.02,0.0,0.02
16,20,xyz,0.1,0.0,0.1
