            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
34  18-11-22_16-26-54         xy       4     67.08           97.01         28.99        2.8994         68.02        6.8020  [[4, 1, xy, 0.0, 0.0, 0.0], [4, 2, xy, 1.86, 4...       2058504
35  18-11-22_16-26-54         xy       8     67.08           74.17         25.38        2.5382         48.79        4.8793  [[8, 1, xy, 0.0, 0.0, 0.0], [8, 2, xy, 1.36, 4...       2058504
36  18-11-22_16-26-54         xy      16     67.08          136.77         23.73        2.3729        113.04       11.3044  [[16, 1, xy, 0.0, 0.0, 0.0], [16, 2, xy, 1.2, ...       2058504
37  18-11-22_16-26-54         xy      32     67.08          140.19         22.56        2.2560        117.63       11.7629  [[32, 1, xy, 0.0, 0.0, 0.0], [32, 2, xy, 1.09,...       2058504
38  18-11-22_16-26-54         xy      64     67.08          175.57         22.34        2.2344        153.23       15.3233  [[64, 1, xy, 0.0, 0.0, 0.0], [64, 2, xy, 1.06,...       2058504
39  18-11-22_16-26-54         xy     128     67.08          202.97         21.99        2.1990        180.98       18.0976  [[128, 1, xy, 0.0, 0.0, 0.0], [128, 2, xy, 1.0...       2058504
40  18-11-22_16-26-54         xz       1     67.08           70.57         40.69        4.0693         29.88        2.9880  [[1, 1, xz, 0.0, 0.0, 0.0], [1, 2, xz, 2.78, 4...       2054408
41  18-11-22_16-26-54         xz       2     67.08           58.30         32.85        3.2847         25.45        2.5446  [[2, 1, xz, 0.0, 0.0, 0.0], [2, 2, xz, 2.04, 4...       2054408
42  18-11-22_16-26-54         xz       4     67.08           52.29         29.02        2.9016         23.27        2.3273  [[4, 1, xz, 0.0, 0.0, 0.0], [4, 2, xz, 1.84, 3...       2054408
43  18-11-22_16-26-54         xz       8     67.08           49.17         25.35        2.5353         23.82        2.3823  [[8, 1, xz, 0.0, 0.0, 0.0], [8, 2, xz, 1.35, 4...       2054408
44  18-11-22_16-26-54         xz      16     67.08           77.26         23.85        2.3850         53.41        5.3415  [[16, 1, xz, 0.0, 0.0, 0.0], [16, 2, xz, 1.19,...       2054408
45  18-11-22_16-26-54         xz      32     67.08          121.20         22.60        2.2603         98.60        9.8597  [[32, 1, xz, 0.0, 0.0, 0.0], [32, 2, xz, 1.08,...       2054408
46  18-11-22_16-26-54         xz      64     67.08          160.08         22.32        2.2319        137.76       13.7755  [[64, 1, xz, 0.0, 0.0, 0.0], [64, 2, xz, 1.04,...       2054408
47  18-11-22_16-26-54         xz     128     67.08          192.33         22.05        2.2045        170.28       17.0285  [[128, 1, xz, 0.0, 0.0, 0.0], [128, 2, xz, 1.0...       2054408
48  18-11-22_16-26-54         yz       1     67.08           73.32         40.51        4.0509         32.81        3.2807  [[1, 1, yz, 0.0, 0.0, 0.0], [1, 2, yz, 2.78, 4...       2050312
49  18-11-22_16-26-54         yz       2     67.08           59.90         32.82        3.2820         27.08        2.7080  [[2, 1, yz, 0.0, 0.0, 0.0], [2, 2, yz, 2.05, 3...       2058504
50  18-11-22_16-26-54         yz       4     67.08           54.54         29.05        2.9049         25.49        2.5491  [[4, 1, yz, 0.0, 0.0, 0.0], [4, 2, yz, 1.87, 3...       2054408
51  18-11-22_16-26-54         yz       8     67.08           51.80         25.35        2.5347         26.45        2.6454  [[8, 1, yz, 0.0, 0.0, 0.0], [8, 2, yz, 1.34, 4...       2054408
52  18-11-22_16-26-54         yz      16     67.08           71.57         23.68        2.3683         47.89        4.7894  [[16, 1, yz, 0.0, 0.0, 0.0], [16, 2, yz, 1.2, ...       2062600
53  18-11-22_16-26-54         yz      32     67.08           99.34         22.59        2.2591         76.75        7.6750  [[32, 1, yz, 0.0, 0.0, 0.0], [32, 2, yz, 1.12,...       2070792
54  18-11-22_16-26-54         yz      64     67.08          127.63         22.35        2.2350        105.28       10.5282  [[64, 1, yz, 0.0, 0.0, 0.0], [64, 2, yz, 1.1, ...       2066696
55  18-11-22_16-26-54         yz     128     67.08          152.47         22.00        2.1998        130.47       13.0465  [[128, 1, yz, 0.0, 0.0, 0.0], [128, 2, yz, 1.0...       2066696
56  18-11-22_16-26-54        xyz       1     67.08           73.62         40.60        4.0604         33.02        3.3017  [[1, 1, xyz, 0.0, 0.0, 0.0], [1, 2, xyz, 2.78,...       2050312
57  18-11-22_16-26-54        xyz       2     67.08           59.43         32.81        3.2814         26.62        2.6624  [[2, 1, xyz, 0.0, 0.0, 0.0], [2, 2, xyz, 2.04,...       2054408
58  18-11-22_16-26-54        xyz       4     67.08           52.98         29.01        2.9010         23.97        2.3974  [[4, 1, xyz, 0.0, 0.0, 0.0], [4, 2, xyz, 1.85,...       2054408
59  18-11-22_16-26-54        xyz       8     67.08           49.08         25.35        2.5350         23.73        2.3727  [[8, 1, xyz, 0.0, 0.0, 0.0], [8, 2, xyz, 1.35,...       2054408
