batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
1,1,xz,0.0,0.0,0.0
1,2,xz,2.72,4.61,7.33
1,3,xz,3.39,0.0,3.39
1,4,xz,3.66,5.99,9.65
1,5,xz,3.71,0.0,3.71
1,6,xz,2.66,0.11,2.77
1,7,xz,2.43,3.12,5.55
1,8,xz,2.37,0.0,2.37
1,9,xz,2.73,5.38,8.11
1,10,xz,2.36,0.0,2.36
1,11,xz,2.02,0.05,2.07
1,12,xz,2.16,3.29,5.45
1,13,xz,1.11,0.0,1.11
1,14,xz,2.58,5.19,7.77
1,15,xz,0.9,0.0,0.9
1,16,xz,1.68,0.06,1.74
1,17,xz,0.0,0.0,0.0
1,18,xz,2.51,2.02,4.53
1,19,xz,0.02,0.0,0.02
1,20,xz,1.5,0.07,1.57
