batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
32,1,xyz,0.0,0.0,0.0
32,2,xyz,1.04,26.77,27.81
32,3,xyz,3.44,0.0,3.44
32,4,xyz,1.97,33.54,35.51
32,5,xyz,3.96,0.0,3.96
32,6,xyz,1.27,0.03,1.3
32,7,xyz,0.81,2.42,3.23
32,8,xyz,2.51,0.0,2.51
32,9,xyz,1.06,4.69,5.75
32,10,xyz,2.1,0.0,2.1
32,11,xyz,0.69,0.01,0.7
32,12,xyz,0.49,2.2,2.69
32,13,xyz,1.12,0.0,1.12
32,14,xyz,0.62,4.3,4.92
32,15,xyz,0.84,0.0,0.84
32,16,xyz,0.4,0.0,0.4
32,17,xyz,0.0,0.0,0.0
32,18,xyz,0.16,0.16,0.32
32,19,xyz,0.02,0.0,0.02
32,20,xyz,0.05,0.0,0.05
