batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
128,1,xyz,0.0,0.0,0.0
128,2,xyz,0.96,36.44,37.4
128,3,xyz,3.8,0.0,3.8
128,4,xyz,1.89,43.9,45.79
128,5,xyz,4.0,0.0,4.0
128,6,xyz,1.21,0.03,1.24
128,7,xyz,0.72,2.86,3.58
128,8,xyz,2.2,0.0,2.2
128,9,xyz,0.97,5.04,6.01
128,10,xyz,2.12,0.0,2.12
128,11,xyz,0.62,0.02,0.64
128,12,xyz,0.38,2.23,2.61
128,13,xyz,1.22,0.0,1.22
128,14,xyz,0.5,4.37,4.87
128,15,xyz,0.84,0.0,0.84
128,16,xyz,0.32,0.0,0.32
128,17,xyz,0.0,0.0,0.0
128,18,xyz,0.1,0.16,0.26
128,19,xyz,0.02,0.0,0.02
128,20,xyz,0.02,0.0,0.02
