batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
64,1,x,0.0,0.0,0.0
64,2,x,0.99,44.11,45.1
64,3,x,3.44,0.0,3.44
64,4,x,1.91,73.0,74.91
64,5,x,4.18,0.0,4.18
64,6,x,1.23,0.02,1.25
64,7,x,0.75,21.69,22.44
64,8,x,2.37,0.0,2.37
64,9,x,0.99,55.96,56.95
64,10,x,2.3,0.0,2.3
64,11,x,0.64,0.0,0.64
64,12,x,0.41,3.11,3.52
64,13,x,1.12,0.0,1.12
64,14,x,0.54,5.71,6.25
64,15,x,0.83,0.0,0.83
64,16,x,0.35,0.0,0.35
64,17,x,0.0,0.0,0.0
64,18,x,0.13,0.2,0.33
64,19,x,0.02,0.0,0.02
64,20,x,0.03,0.0,0.03
