batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,x,0.0,0.0,0.0
4,2,x,1.79,16.84,18.63
4,3,x,4.02,0.0,4.02
4,4,x,2.96,22.35,25.31
4,5,x,4.1,0.0,4.1
4,6,x,1.92,0.03,1.95
4,7,x,1.25,10.14,11.39
4,8,x,2.14,0.0,2.14
4,9,x,1.81,21.14,22.95
4,10,x,2.13,0.0,2.13
4,11,x,1.03,0.03,1.06
4,12,x,0.87,18.1,18.97
4,13,x,1.21,0.0,1.21
4,14,x,1.07,36.74,37.81
4,15,x,0.84,0.0,0.84
4,16,x,0.68,0.05,0.73
4,17,x,0.0,0.0,0.0
4,18,x,0.71,0.51,1.22
4,19,x,0.02,0.0,0.02
4,20,x,0.37,0.02,0.39
