batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,yz,0.0,0.0,0.0
4,2,yz,1.85,3.8,5.65
4,3,yz,3.97,0.0,3.97
4,4,yz,2.99,5.03,8.02
4,5,yz,1.95,0.04,1.99
4,6,yz,0.38,0.0,0.38
4,7,yz,1.23,2.59,3.82
4,8,yz,0.87,0.0,0.87
4,9,yz,1.87,4.8,6.67
4,10,yz,1.05,0.02,1.07
4,11,yz,0.19,0.0,0.19
4,12,yz,0.88,2.4,3.28
4,13,yz,0.61,0.0,0.61
4,14,yz,1.08,4.69,5.77
4,15,yz,0.69,0.03,0.72
4,16,yz,0.1,0.0,0.1
4,17,yz,0.0,0.0,0.0
4,18,yz,0.7,1.96,2.66
4,19,yz,0.01,0.0,0.01
4,20,yz,0.37,0.04,0.41
