batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,yz,0.0,0.0,0.0
2,2,yz,2.04,3.97,6.01
2,3,yz,4.0,0.0,4.0
2,4,yz,3.61,5.09,8.7
2,5,yz,2.1,0.04,2.14
2,6,yz,0.4,0.0,0.4
2,7,yz,1.6,2.63,4.23
2,8,yz,0.87,0.0,0.87
2,9,yz,1.9,4.82,6.72
2,10,yz,1.37,0.06,1.43
2,11,yz,0.2,0.0,0.2
2,12,yz,1.28,3.34,4.62
2,13,yz,0.64,0.0,0.64
2,14,yz,1.56,4.73,6.29
2,15,yz,1.01,0.03,1.04
2,16,yz,0.1,0.0,0.1
2,17,yz,0.0,0.0,0.0
2,18,yz,1.28,1.96,3.24
2,19,yz,0.02,0.0,0.02
2,20,yz,0.73,0.05,0.78
