batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
64,1,yz,0.0,0.0,0.0
64,2,yz,1.09,35.34,36.43
64,3,yz,3.96,0.0,3.96
64,4,yz,1.87,45.07,46.94
64,5,yz,1.33,0.02,1.35
64,6,yz,0.39,0.0,0.39
64,7,yz,0.73,6.44,7.17
64,8,yz,0.85,0.0,0.85
64,9,yz,0.97,9.79,10.76
64,10,yz,0.69,0.01,0.7
64,11,yz,0.19,0.0,0.19
64,12,yz,0.41,2.24,2.65
64,13,yz,0.56,0.0,0.56
64,14,yz,0.53,4.38,4.91
64,15,yz,0.37,0.01,0.38
64,16,yz,0.1,0.0,0.1
64,17,yz,0.0,0.0,0.0
64,18,yz,0.13,1.94,2.07
64,19,yz,0.01,0.0,0.01
64,20,yz,0.03,0.02,0.05
