batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
8,1,cpu,0.0,0.0,0.0
8,2,cpu,2.51,0.0,2.51
8,3,cpu,3.64,0.0,3.64
8,4,cpu,20.21,0.0,20.21
8,5,cpu,3.65,0.0,3.65
8,6,cpu,0.01,0.0,0.01
8,7,cpu,9.52,0.0,9.52
8,8,cpu,2.15,0.0,2.15
8,9,cpu,18.8,0.0,18.8
8,10,cpu,2.18,0.0,2.18
8,11,cpu,0.0,0.0,0.0
8,12,cpu,8.56,0.0,8.56
8,13,cpu,1.19,0.0,1.19
8,14,cpu,18.07,0.0,18.07
8,15,cpu,0.89,0.0,0.89
8,16,cpu,0.0,0.0,0.0
8,17,cpu,0.0,0.0,0.0
8,18,cpu,0.84,0.0,0.84
8,19,cpu,0.02,0.0,0.02
8,20,cpu,0.0,0.0,0.0
