batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,x,0.0,0.0,0.0
4,2,x,1.79,16.83,18.62
4,3,x,4.04,0.0,4.04
4,4,x,2.96,22.32,25.28
4,5,x,4.13,0.0,4.13
4,6,x,1.93,0.04,1.97
4,7,x,1.25,10.12,11.37
4,8,x,2.15,0.0,2.15
4,9,x,1.82,21.08,22.9
4,10,x,2.14,0.0,2.14
4,11,x,1.03,0.03,1.06
4,12,x,0.89,18.06,18.95
4,13,x,1.22,0.0,1.22
4,14,x,1.06,36.65,37.71
4,15,x,0.84,0.0,0.84
4,16,x,0.68,0.04,0.72
4,17,x,0.0,0.0,0.0
4,18,x,0.71,0.49,1.2
4,19,x,0.02,0.0,0.02
4,20,x,0.38,0.02,0.4
