batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
8,1,xy,0.0,0.0,0.0
8,2,xy,9.25,65.28,74.53
8,3,xy,11.21,0.0,11.21
8,4,xy,12.26,85.51,97.77
8,5,xy,11.64,0.0,11.64
8,6,xy,4.75,0.21,4.96
8,7,xy,5.83,41.27,47.1
8,8,xy,7.85,0.0,7.85
8,9,xy,8.03,83.14,91.17
8,10,xy,8.85,0.0,8.85
8,11,xy,3.62,0.16,3.78
8,12,xy,4.0,37.94,41.94
8,13,xy,4.84,0.0,4.84
8,14,xy,6.41,76.61,83.02
8,15,xy,5.77,0.0,5.77
8,16,xy,3.41,0.07,3.48
8,17,xy,0.0,0.0,0.0
8,18,xy,2.24,2.13,4.37
8,19,xy,0.04,0.0,0.04
8,20,xy,1.38,0.09,1.47
