batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
32,1,cpu,0.0,0.0,0.0
32,2,cpu,2.53,0.0,2.53
32,3,cpu,3.54,0.0,3.54
32,4,cpu,20.43,0.0,20.43
32,5,cpu,3.69,0.0,3.69
32,6,cpu,0.01,0.0,0.01
32,7,cpu,9.51,0.0,9.51
32,8,cpu,2.17,0.0,2.17
32,9,cpu,18.83,0.0,18.83
32,10,cpu,2.28,0.0,2.28
32,11,cpu,0.0,0.0,0.0
32,12,cpu,8.59,0.0,8.59
32,13,cpu,1.28,0.0,1.28
32,14,cpu,18.06,0.0,18.06
32,15,cpu,0.89,0.0,0.89
32,16,cpu,0.0,0.0,0.0
32,17,cpu,0.0,0.0,0.0
32,18,cpu,0.85,0.0,0.85
32,19,cpu,0.02,0.0,0.02
32,20,cpu,0.0,0.0,0.0
