batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
8,1,x,0.0,0.0,0.0
8,2,x,1.42,8.75,10.17
8,3,x,3.97,0.0,3.97
8,4,x,2.39,11.69,14.08
8,5,x,1.63,0.02,1.65
8,6,x,0.38,0.0,0.38
8,7,x,1.13,5.08,6.21
8,8,x,0.84,0.0,0.84
8,9,x,1.52,10.59,12.11
8,10,x,0.97,0.01,0.98
8,11,x,0.19,0.0,0.19
8,12,x,0.65,9.12,9.77
8,13,x,0.58,0.0,0.58
8,14,x,1.0,18.4,19.4
8,15,x,0.52,0.02,0.54
8,16,x,0.09,0.0,0.09
8,17,x,0.0,0.0,0.0
8,18,x,0.4,0.25,0.65
8,19,x,0.01,0.0,0.01
8,20,x,0.19,0.01,0.2
