batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,x,0.0,0.0,0.0
4,2,x,1.85,16.7,18.55
4,3,x,3.96,0.0,3.96
4,4,x,3.0,22.24,25.24
4,5,x,1.95,0.03,1.98
4,6,x,0.38,0.0,0.38
4,7,x,1.23,10.1,11.33
4,8,x,0.87,0.0,0.87
4,9,x,1.88,21.07,22.95
4,10,x,1.05,0.03,1.08
4,11,x,0.19,0.0,0.19
4,12,x,0.87,18.02,18.89
4,13,x,0.61,0.0,0.61
4,14,x,1.09,36.51,37.6
4,15,x,0.69,0.05,0.74
4,16,x,0.09,0.0,0.09
4,17,x,0.0,0.0,0.0
4,18,x,0.71,0.49,1.2
4,19,x,0.01,0.0,0.01
4,20,x,0.37,0.02,0.39
