            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   24-11-22_10-57-23        cpu       1     77.24            2.70          2.70        0.2696          0.00        0.0000  [[1, 1, cpu, 0.0, 0.0, 0.0], [1, 2, cpu, 0.31,...        935016
1   24-11-22_10-57-23        cpu       2     77.24            2.56          2.56        0.2555          0.00        0.0000  [[2, 1, cpu, 0.0, 0.0, 0.0], [2, 2, cpu, 0.31,...        935016
2   24-11-22_10-57-23        cpu       4     77.24            2.72          2.72        0.2716          0.00        0.0000  [[4, 1, cpu, 0.0, 0.0, 0.0], [4, 2, cpu, 0.34,...        935016
3   24-11-22_10-57-23        cpu       8     77.24            3.28          3.28        0.3277          0.00        0.0000  [[8, 1, cpu, 0.0, 0.0, 0.0], [8, 2, cpu, 0.32,...        935016
4   24-11-22_10-57-23        cpu      16     77.24            3.17          3.17        0.3170          0.00        0.0000  [[16, 1, cpu, 0.0, 0.0, 0.0], [16, 2, cpu, 0.3...        935016
5   24-11-22_10-57-23        cpu      32     77.24            2.58          2.58        0.2583          0.00        0.0000  [[32, 1, cpu, 0.0, 0.0, 0.0], [32, 2, cpu, 0.3...        935016
6   24-11-22_10-57-23        cpu      64     77.24            2.60          2.60        0.2604          0.00        0.0000  [[64, 1, cpu, 0.0, 0.0, 0.0], [64, 2, cpu, 0.3...        935016
7   24-11-22_10-57-23        cpu     128     77.24            2.75          2.75        0.2746          0.00        0.0000  [[128, 1, cpu, 0.0, 0.0, 0.0], [128, 2, cpu, 0...        935016
8   24-11-22_10-57-23          x       1     77.24           23.66         11.30        1.1300         12.36        1.2363  [[1, 1, x, 0.0, 0.0, 0.0], [1, 2, x, 1.99, 8.2...        941032
9   24-11-22_10-57-23          x       2     77.24           13.31          6.99        0.6993          6.32        0.6324  [[2, 1, x, 0.0, 0.0, 0.0], [2, 2, x, 1.24, 4.2...        941032
10  24-11-22_10-57-23          x       4     77.24            8.02          4.84        0.4845          3.18        0.3176  [[4, 1, x, 0.0, 0.0, 0.0], [4, 2, x, 0.88, 2.1...        941032
11  24-11-22_10-57-23          x       8     77.24            5.26          3.67        0.3671          1.59        0.1592  [[8, 1, x, 0.0, 0.0, 0.0], [8, 2, x, 0.6, 1.05...        941032
12  24-11-22_10-57-23          x      16     77.24            5.40          3.30        0.3304          2.10        0.2104  [[16, 1, x, 0.0, 0.0, 0.0], [16, 2, x, 0.6, 1....        941032
13  24-11-22_10-57-23          x      32     77.24            8.19          2.93        0.2931          5.26        0.5258  [[32, 1, x, 0.0, 0.0, 0.0], [32, 2, x, 0.49, 4...        945128
14  24-11-22_10-57-23          x      64     77.24            8.94          2.83        0.2826          6.11        0.6112  [[64, 1, x, 0.0, 0.0, 0.0], [64, 2, x, 0.43, 5...        941032
15  24-11-22_10-57-23          x     128     77.24           11.34          2.65        0.2655          8.69        0.8692  [[128, 1, x, 0.0, 0.0, 0.0], [128, 2, x, 0.42,...        941032
16  24-11-22_10-57-23          y       1     77.24           14.73         11.21        1.1207          3.52        0.3518  [[1, 1, y, 0.0, 0.0, 0.0], [1, 2, y, 1.97, 1.2...        941032
