batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
32,1,y,0.0,0.0,0.0
32,2,y,6.18,63.12,69.3
32,3,y,5.59,0.0,5.59
32,4,y,9.13,84.14,93.27
32,5,y,5.46,0.0,5.46
32,6,y,3.38,0.16,3.54
32,7,y,5.16,37.93,43.09
32,8,y,3.84,0.0,3.84
32,9,y,5.16,75.44,80.6
32,10,y,3.81,0.0,3.81
32,11,y,2.03,0.12,2.15
32,12,y,2.82,76.09,78.91
32,13,y,2.78,0.0,2.78
32,14,y,3.26,150.51,153.77
32,15,y,2.92,0.0,2.92
32,16,y,1.28,0.15,1.43
32,17,y,0.0,0.0,0.0
32,18,y,0.76,3.33,4.09
32,19,y,0.05,0.0,0.05
32,20,y,0.47,0.05,0.52
