batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
1,1,x,0.0,0.0,0.0
1,2,x,-1.58,10.0,8.42
1,3,x,20.66,0.0,20.66
1,4,x,28.89,162.27,191.16
1,5,x,25.78,1.54,27.32
1,6,x,6.32,0.0,6.32
1,7,x,20.03,72.24,92.27
1,8,x,14.07,0.0,14.07
1,9,x,23.37,149.17,172.54
1,10,x,13.34,1.5,14.84
1,11,x,3.83,0.0,3.83
1,12,x,19.21,100.43,119.64
1,13,x,7.42,0.0,7.42
1,14,x,24.16,206.46,230.62
1,15,x,10.23,1.49,11.72
1,16,x,2.01,0.0,2.01
1,17,x,0.0,0.0,0.0
1,18,x,22.76,4.33,27.09
1,19,x,0.11,0.0,0.11
1,20,x,9.55,1.14,10.69
