batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,x,0.0,0.0,0.0
2,2,x,0.21,5.0,5.21
2,3,x,16.17,0.0,16.17
2,4,x,20.1,86.02,106.12
2,5,x,20.09,0.7,20.79
2,6,x,4.96,0.0,4.96
2,7,x,12.04,36.62,48.66
2,8,x,12.1,0.0,12.1
2,9,x,14.88,76.21,91.09
2,10,x,9.92,0.78,10.7
2,11,x,3.49,0.0,3.49
2,12,x,10.54,51.41,61.95
2,13,x,7.37,0.0,7.37
2,14,x,13.62,108.32,121.94
2,15,x,6.44,0.74,7.18
2,16,x,1.92,0.0,1.92
2,17,x,0.0,0.0,0.0
2,18,x,10.71,2.21,12.92
2,19,x,0.09,0.0,0.09
2,20,x,4.03,0.51,4.54
