batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
8,1,yz,0.0,0.0,0.0
8,2,yz,9.77,116.82,126.59
8,3,yz,11.82,0.0,11.82
8,4,yz,12.56,122.34,134.9
8,5,yz,11.88,0.0,11.88
8,6,yz,4.78,0.22,5.0
8,7,yz,5.58,29.92,35.5
8,8,yz,7.25,0.0,7.25
8,9,yz,8.1,57.15,65.25
8,10,yz,9.23,0.0,9.23
8,11,yz,3.71,0.17,3.88
8,12,yz,3.88,26.37,30.25
8,13,yz,4.62,0.0,4.62
8,14,yz,6.46,52.65,59.11
8,15,yz,5.54,0.0,5.54
8,16,yz,3.24,0.08,3.32
8,17,yz,0.0,0.0,0.0
8,18,yz,2.46,3.39,5.85
8,19,yz,0.05,0.0,0.05
8,20,yz,1.58,0.11,1.69
