batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
64,1,yz,0.0,0.0,0.0
64,2,yz,5.43,258.82,264.25
64,3,yz,5.21,0.0,5.21
64,4,yz,9.77,280.52,290.29
64,5,yz,5.18,0.0,5.18
64,6,yz,4.05,0.14,4.19
64,7,yz,5.19,64.3,69.49
64,8,yz,2.8,0.0,2.8
64,9,yz,4.62,84.08,88.7
64,10,yz,2.66,0.0,2.66
64,11,yz,1.74,0.07,1.81
64,12,yz,2.59,28.74,31.33
64,13,yz,1.76,0.0,1.76
64,14,yz,2.49,55.69,58.18
64,15,yz,1.87,0.0,1.87
64,16,yz,0.96,0.04,1.0
64,17,yz,0.0,0.0,0.0
64,18,yz,0.53,3.33,3.86
64,19,yz,0.04,0.0,0.04
64,20,yz,0.22,0.04,0.26
