batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
128,1,yz,0.0,0.0,0.0
128,2,yz,5.4,296.88,302.28
128,3,yz,5.2,0.0,5.2
128,4,yz,10.0,322.99,332.99
128,5,yz,5.15,0.0,5.15
128,6,yz,5.12,0.14,5.26
128,7,yz,4.09,83.15,87.24
128,8,yz,2.72,0.0,2.72
128,9,yz,4.92,100.33,105.25
128,10,yz,2.51,0.0,2.51
128,11,yz,2.07,0.06,2.13
128,12,yz,2.64,34.23,36.87
128,13,yz,1.29,0.0,1.29
128,14,yz,2.32,58.82,61.14
128,15,yz,1.32,0.0,1.32
128,16,yz,0.85,0.04,0.89
128,17,yz,0.0,0.0,0.0
128,18,yz,0.36,3.36,3.72
128,19,yz,0.03,0.0,0.03
128,20,yz,0.12,0.04,0.16
