batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
16,1,cpu,0.0,0.0,0.0
16,2,cpu,2.48,0.0,2.48
16,3,cpu,3.93,0.0,3.93
16,4,cpu,20.22,0.0,20.22
16,5,cpu,0.01,0.0,0.01
16,6,cpu,0.36,0.0,0.36
16,7,cpu,11.18,0.0,11.18
16,8,cpu,0.78,0.0,0.78
16,9,cpu,18.8,0.0,18.8
16,10,cpu,0.01,0.0,0.01
16,11,cpu,0.18,0.0,0.18
16,12,cpu,8.57,0.0,8.57
16,13,cpu,0.48,0.0,0.48
16,14,cpu,18.1,0.0,18.1
16,15,cpu,0.0,0.0,0.0
16,16,cpu,0.09,0.0,0.09
16,17,cpu,0.0,0.0,0.0
16,18,cpu,0.85,0.0,0.85
16,19,cpu,0.01,0.0,0.01
16,20,cpu,0.0,0.0,0.0
