batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,y,0.0,0.0,0.0
4,2,y,1.78,7.21,8.99
4,3,y,4.02,0.0,4.02
4,4,y,2.95,9.86,12.81
4,5,y,4.1,0.0,4.1
4,6,y,1.92,0.05,1.97
4,7,y,1.25,15.55,16.8
4,8,y,2.14,0.0,2.14
4,9,y,1.82,30.68,32.5
4,10,y,2.13,0.0,2.13
4,11,y,1.02,0.06,1.08
4,12,y,0.88,56.55,57.43
4,13,y,1.21,0.0,1.21
4,14,y,1.05,112.92,113.97
4,15,y,0.84,0.0,0.84
4,16,y,0.69,0.11,0.8
4,17,y,0.0,0.0,0.0
4,18,y,0.7,1.95,2.65
4,19,y,0.02,0.0,0.02
4,20,y,0.37,0.04,0.41
