            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   26-10-22_15-04-48          x       1     77.24          136.03         54.00        5.4000         82.03        8.2029  [[1, 1, x, 0.0, 0.0, 0.0], [1, 2, x, 9.69, 53....        920920
1   26-10-22_15-04-48          x       2     77.24           77.20         34.12        3.4115         43.08        4.3083  [[2, 1, x, 0.0, 0.0, 0.0], [2, 2, x, 6.27, 27....        925040
2   26-10-22_15-04-48          x       4     77.24           53.10         21.75        2.1748         31.35        3.1345  [[4, 1, x, 0.0, 0.0, 0.0], [4, 2, x, 3.68, 21....        925040
3   26-10-22_15-04-48          x       8     77.24           43.75         18.71        1.8709         25.04        2.5044  [[8, 1, x, 0.0, 0.0, 0.0], [8, 2, x, 3.39, 17....        929240
4   26-10-22_15-04-48          x      16     77.24           27.10         11.67        1.1669         15.43        1.5433  [[16, 1, x, 0.0, 0.0, 0.0], [16, 2, x, 2.15, 1...        925040
5   26-10-22_15-04-48          x      32     77.24           27.06         10.39        1.0393         16.67        1.6671  [[32, 1, x, 0.0, 0.0, 0.0], [32, 2, x, 2.32, 1...        925040
6   26-10-22_15-04-48          x      64     77.24           26.49          8.98        0.8980         17.51        1.7513  [[64, 1, x, 0.0, 0.0, 0.0], [64, 2, x, 2.22, 1...        929232
7   26-10-22_15-04-48          x     128     77.24           24.75          7.76        0.7763         16.99        1.6991  [[128, 1, x, 0.0, 0.0, 0.0], [128, 2, x, 1.86,...        933432
8   26-10-22_15-04-48          x     256     77.24           25.78          8.41        0.8406         17.37        1.7373  [[256, 1, x, 0.0, 0.0, 0.0], [256, 2, x, 2.11,...        929240
9   26-10-22_15-04-48          y       1     77.24          123.12         57.73        5.7728         65.39        6.5386  [[1, 1, y, 0.0, 0.0, 0.0], [1, 2, y, 10.23, 41...        920920
10  26-10-22_15-04-48          y       2     77.24           79.16         32.86        3.2864         46.30        4.6296  [[2, 1, y, 0.0, 0.0, 0.0], [2, 2, y, 6.01, 29....        929136
11  26-10-22_15-04-48          y       4     77.24           48.78         21.50        2.1503         27.28        2.7281  [[4, 1, y, 0.0, 0.0, 0.0], [4, 2, y, 4.08, 17....        929136
