batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
2,1,xz,0.0,0.0,0.0
2,2,xz,11.1,49.36,60.46
2,3,xz,17.0,0.0,17.0
2,4,xz,19.33,63.89,83.22
2,5,xz,14.21,0.68,14.89
2,6,xz,4.68,0.0,4.68
2,7,xz,10.92,29.26,40.18
2,8,xz,8.41,0.0,8.41
2,9,xz,12.32,58.31,70.63
2,10,xz,10.31,0.65,10.96
2,11,xz,2.81,0.0,2.81
2,12,xz,10.7,25.2,35.9
2,13,xz,5.01,0.0,5.01
2,14,xz,12.2,50.7,62.9
2,15,xz,8.47,0.65,9.12
2,16,xz,1.48,0.0,1.48
2,17,xz,0.0,0.0,0.0
2,18,xz,10.57,2.1,12.67
2,19,xz,0.07,0.0,0.07
2,20,xz,5.52,0.42,5.94
