batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
128,1,y,0.0,0.0,0.0
128,2,y,0.98,7.43,8.41
128,3,y,3.83,0.0,3.83
128,4,y,1.89,10.07,11.96
128,5,y,4.02,0.0,4.02
128,6,y,1.21,0.04,1.25
128,7,y,0.72,16.02,16.74
128,8,y,2.21,0.0,2.21
128,9,y,0.97,31.33,32.3
128,10,y,2.14,0.0,2.14
128,11,y,0.62,0.05,0.67
128,12,y,0.38,57.59,57.97
128,13,y,1.23,0.0,1.23
128,14,y,0.51,114.15,114.66
128,15,y,0.84,0.0,0.84
128,16,y,0.32,0.09,0.41
128,17,y,0.0,0.0,0.0
128,18,y,0.1,1.95,2.05
128,19,y,0.02,0.0,0.02
128,20,y,0.02,0.02,0.04
