            date_time       impl  bch_sz  accuracy  total_time [s]  cpu_time [s]  cpu_lat [ms]  gpu_time [s]  gpu_lat [ms]                                             layers  size [Bytes]
0   14-10-22_16-29-49        cpu       1     10.00           88.84         88.84        8.8844          0.00        0.0000  [[1, 1, cpu, 0.0, 0.0, 0.0], [1, 2, cpu, 2.42,...       3103752
1   14-10-22_16-29-49        cpu       2     10.01           84.18         84.18        8.4184          0.00        0.0000  [[2, 1, cpu, 0.0, 0.0, 0.0], [2, 2, cpu, 2.42,...       3107848
2   14-10-22_16-29-49        cpu       4      9.99           84.09         84.09        8.4085          0.00        0.0000  [[4, 1, cpu, 0.0, 0.0, 0.0], [4, 2, cpu, 2.43,...       3107848
3   14-10-22_16-29-49        cpu       8     10.01           83.93         83.93        8.3925          0.00        0.0000  [[8, 1, cpu, 0.0, 0.0, 0.0], [8, 2, cpu, 2.48,...       3107848
4   14-10-22_16-29-49        cpu      16     10.03           86.08         86.08        8.6079          0.00        0.0000  [[16, 1, cpu, 0.0, 0.0, 0.0], [16, 2, cpu, 2.4...       3107848
5   14-10-22_16-29-49        cpu      32     10.06           84.89         84.89        8.4886          0.00        0.0000  [[32, 1, cpu, 0.0, 0.0, 0.0], [32, 2, cpu, 2.5...       3107848
6   14-10-22_16-29-49        cpu      64     10.03           85.26         85.26        8.5262          0.00        0.0000  [[64, 1, cpu, 0.0, 0.0, 0.0], [64, 2, cpu, 2.5...       3107848
7   14-10-22_16-29-49        cpu     128     10.00           86.24         86.24        8.6240          0.00        0.0000  [[128, 1, cpu, 0.0, 0.0, 0.0], [128, 2, cpu, 2...       3107848
8   14-10-22_16-29-49        cpu     256     10.04           86.53         86.53        8.6525          0.00        0.0000  [[256, 1, cpu, 0.0, 0.0, 0.0], [256, 2, cpu, 2...       3107848
9   14-10-22_16-29-49          x       1     10.00          526.51         32.91        3.2913        493.60       49.3600  [[1, 1, x, 0.0, 0.0, 0.0], [1, 2, x, 2.81, 65....       2054408
10  14-10-22_16-29-49          x       2     10.00          274.74         24.84        2.4840        249.90       24.9899  [[2, 1, x, 0.0, 0.0, 0.0], [2, 2, x, 2.05, 33....       2062600
11  14-10-22_16-29-49          x       4     10.00          146.09         20.83        2.0831        125.26       12.5264  [[4, 1, x, 0.0, 0.0, 0.0], [4, 2, x, 1.85, 16....       2062600
12  14-10-22_16-29-49          x       8     10.00           81.85         17.90        1.7904         63.95        6.3953  [[8, 1, x, 0.0, 0.0, 0.0], [8, 2, x, 1.42, 8.7...       2062600
13  14-10-22_16-29-49          x      16     10.00          120.61         16.07        1.6071        104.54       10.4539  [[16, 1, x, 0.0, 0.0, 0.0], [16, 2, x, 1.21, 3...       2062600
